                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.76883,                0.88335,                 1.2191,                0.85359,                0.90845,                0.93032,                0.74938,                 0.7367,                0.74079,                 1.1966,              0.0004619,              0.0004619,              0.0004619
                     47,                0.73912,                0.91031,                  1.185,                0.88924,                0.92055,                0.92955,                0.74468,                0.71035,                0.78448,                 1.1711,             0.00045365,             0.00045365,             0.00045365
                     48,                0.79825,                0.90856,                 1.2167,                0.90331,                  0.889,                0.92407,                0.74404,                0.70818,                0.78751,                 1.1688,             0.00044541,             0.00044541,             0.00044541
                     49,                0.76558,                0.87877,                 1.2302,                0.89299,                0.91341,                0.92953,                0.75832,                0.70574,                  0.725,                  1.173,             0.00043716,             0.00043716,             0.00043716
                     50,                 0.7712,                0.89849,                   1.22,                0.83983,                0.91925,                0.93894,                0.77579,                0.67982,                0.70659,                 1.1486,             0.00042891,             0.00042891,             0.00042891
                     51,                0.76473,                0.89253,                 1.2035,                 0.8374,                0.95962,                0.93457,                0.77436,                0.69024,                0.70327,                 1.1607,             0.00042066,             0.00042066,             0.00042066
                     52,                0.74106,                0.83178,                 1.1893,                0.84536,                0.92755,                0.93601,                0.76521,                0.70234,                0.73475,                 1.1566,             0.00041242,             0.00041242,             0.00041242
                     53,                0.73804,                0.86104,                 1.1702,                0.89404,                0.94164,                0.94066,                  0.777,                0.66527,                 0.6853,                   1.13,             0.00040417,             0.00040417,             0.00040417
                     54,                0.72821,                0.82676,                 1.1929,                0.87914,                0.93237,                0.93502,                0.78727,                0.63056,                0.66301,                 1.0989,             0.00039592,             0.00039592,             0.00039592
                     55,                0.70709,                0.83833,                 1.1805,                0.87123,                0.94298,                0.93682,                0.78377,                0.65485,                0.69237,                 1.1123,             0.00038768,             0.00038768,             0.00038768
                     56,                0.69647,                0.80953,                  1.175,                0.88543,                0.92639,                0.93363,                0.77966,                0.65412,                0.64901,                 1.1063,             0.00037943,             0.00037943,             0.00037943
